,City,Country,Lat,Lng,Humidity,Hotel Name
0,fort bragg,US,35.139,-79.006,54,Airborne Inn Lodging
1,port-aux-francais,TF,-49.35,70.2167,82,Keravel
2,shiguai,CN,40.7058,110.2856,51,No hotel found
3,awjilah,LY,29.1081,21.2869,14,No hotel found
4,utrik,MH,11.2278,169.8474,75,No hotel found
5,belyy yar,RU,53.6039,91.3903,72,No hotel found
6,prado,BR,-17.3411,-39.2208,88,Pousada Recanto do Prado
7,nar'yan-mar,RU,67.6713,53.087,87,"Гостиница ""Агат"""
8,bilibino,RU,68.0546,166.4372,69,No hotel found
9,jamestown,US,42.097,-79.2353,53,DoubleTree Jamestown
10,jijiga,ET,9.35,42.8,69,Africa Hotel
11,lingig,PH,8.0389,126.4125,73,No hotel found
12,qaqortoq,GL,60.7167,-46.0333,77,Hotel Qaqortoq
13,portland,US,45.5234,-122.6762,50,the Hoxton
14,muroto-misakicho,JP,33.2833,134.15,85,民宿うらしま
15,tiksi,RU,71.6872,128.8694,73,Арктика
16,college,US,64.8569,-147.8028,60,BEST WESTERN PLUS Pioneer Park Inn
17,hammerfest,NO,70.6634,23.6821,62,Thon Hotel Hammerfest
18,birobidzhan,RU,48.8,132.95,98,Мини-гостиница
19,bandarbeyla,SO,9.4942,50.8122,78,No hotel found
20,yellowknife,CA,62.456,-114.3525,56,No hotel found
21,margaret river,AU,-33.95,115.0667,78,Margaret River Hotel
22,praia da vitoria,PT,38.7333,-27.0667,83,Salles
23,lerwick,GB,60.1545,-1.1494,74,Grand Hotel
24,blackmans bay,AU,-43.0167,147.3167,78,Villa Howden
25,waitangi,NZ,-43.9535,-176.5597,97,Hotel Chathams
26,west island,CC,-12.1568,96.8225,83,Cocos Village Bungalows
27,ushuaia,AR,-54.8,-68.3,80,Apart Hotel Aires del Beagle
28,novyy turtkul',UZ,41.55,61.0167,18,To'rtku'l miymanxanasi
29,charters towers,AU,-20.1,146.2667,39,No hotel found
30,anadyr,RU,64.75,177.4833,93,Гостевой дом
31,puerto natales,CL,-51.7236,-72.4875,79,Dorotea Patagonia Hostel
32,ar ruways,AE,24.1103,52.7306,78,No hotel found
33,dwarka,IN,22.2394,68.9678,85,The Dwarika Hotel
34,taulaga,AS,-11.0553,-171.0883,74,No hotel found
35,adamstown,PN,-25.066,-130.1015,71,No hotel found
36,puerto ayora,EC,-0.7393,-90.3518,70,Hostal La Mirada De Solitario George
37,sao tome,ST,0.3365,6.7273,82,Hotel Baia
38,victoria de durango,MX,24.0333,-104.6667,59,Buenos Aires
39,bethel,US,41.3712,-73.414,47,Hampton Inn Danbury
40,mount gambier,AU,-37.8333,140.7667,84,The Old Mount Gambier Gaol
41,zhijiang,CN,30.4214,111.7533,81,枝江国际大酒店
42,tazovsky,RU,67.4667,78.7,81,Тазовчанка
43,hassi messaoud,DZ,31.6804,6.0729,7,AMC
44,badger,US,64.8,-147.5333,59,Hotel North Pole
45,colombo,LK,6.9319,79.8478,87,City Beds - The Regent
46,udachny,RU,66.4167,112.4,59,Вилюй
47,grytviken,GS,-54.2811,-36.5092,73,No hotel found
48,invercargill,NZ,-46.4,168.35,93,The Grand
49,rio grande,BR,-32.035,-52.0986,76,Hotel Vila Moura Executivo
50,fengxiang,CN,47.5833,130.8333,99,No hotel found
51,columbus,US,39.9612,-82.9988,49,Sheraton Columbus Hotel at Capitol Square
52,longyearbyen,SJ,78.2186,15.6401,62,The Vault
53,junin de los andes,AR,-39.9504,-71.0694,82,"Apart Hotel ""Pilmaiquén"""
54,iqaluit,CA,63.7506,-68.5145,71,Frobisher Inn
55,arraial do cabo,BR,-22.9661,-42.0278,69,No hotel found
56,isafjordur,IS,66.0755,-23.124,93,Hótel Horn
57,port elizabeth,ZA,-33.918,25.5701,76,Waterford Hotel
58,floro,NO,61.5996,5.0328,63,Comfort Hotel Victoria Florø
59,uturoa,PF,-16.7333,-151.4333,75,Hawaiki Nui hotel
60,nemuro,JP,43.3236,145.575,98,イーストハーバーホテル
61,al harithah,IQ,30.7186,47.7208,9,No hotel found
62,hermanus,ZA,-34.4187,19.2345,77,Aloe guest house
63,needamangalam,IN,10.7738,79.4187,71,No hotel found
64,al bawiti,EG,28.3492,28.8659,19,Old Oasis Hotel
65,colonia,DE,50.9333,6.95,69,Wasserturm Hotel Cologne
66,mount isa,AU,-20.7333,139.5,50,Ibis Styles
67,kone,NC,-21.0595,164.8658,72,Pacifik Appartels
68,lompoc,US,34.6391,-120.4579,81,Embassy Suites by Hilton Lompoc Central Coast
69,jamjamal,IQ,35.5365,44.8317,13,No hotel found
70,port mathurin,MU,-19.6833,63.4167,75,Escale Vacances
71,oltinko'l,UZ,40.8011,72.1634,20,No hotel found
72,guangyuan,CN,32.442,105.823,83,香格里酒店
73,vilyuchinsk,RU,52.9306,158.4028,90,Победа
74,esqueda,MX,30.7167,-109.5833,31,Hotel Esqueda
75,ugoofaaru,MV,5.6667,73.0,81,No hotel found
76,kuqa,CN,41.7278,82.9364,22,Kuqa Hotel - foreigners accepted
77,imbituba,BR,-28.24,-48.6703,62,Silvestre Praia Hotel
78,bredasdorp,ZA,-34.5322,20.0403,87,Victoria Hotel
79,amlapura,ID,-8.45,115.6167,86,Hotel Ganitri Oka
80,punta arenas,CL,-53.15,-70.9167,71,Hotel Lacolet
81,walterboro,US,32.9052,-80.6668,51,Travelodge
82,sao jose da coroa grande,BR,-8.8978,-35.1478,75,Hotel do Sol
83,albany,US,42.6001,-73.9662,50,No hotel found
